contributor,insert,delete,commit
"romanlevin",2,2,1
"gregrs-uk",3,3,1
"chris-barry",3,3,1
"dzhus",3,3,1
"jonwarghed",1,0,1
"ChristianKastner",9,5,2
"xxyy",494,174,2
"dspinellis",3,3,2
"cringthis",14,7,2
"dookie23",423,10,2
"marcharper",174,146,3
"yannickmoy",433,21,3
"lucamot",425,108,3
"kamchy",335,22,4
"ZhijieWang",436,130,5
"adam-waldenberg",13958,7732,403
